Country,2021,2020,2019,2018,2017,2016,2015,2014,2013
Qatar,61276.0,50124.4,62088.0,65907.9,59124.9,57163.0,63039.1,83858.3,85050.7
Romania,14861.9,12956.6,12899.3,12399.0,10807.0,9548.6,8969.1,10043.7,9547.9
Russia,12172.8,10162.0,11536.3,11287.4,10720.3,8704.9,9313.0,14095.6,15974.6
Saudi Arabia,23585.9,20203.7,23450.6,24228.8,20802.5,19878.8,20627.9,24464.2,24845.1
Serbia,9215.0,7730.7,7417.2,7252.4,6292.5,5765.2,5589.0,6600.1,6755.1
Singapore,72794.0,60729.5,65831.2,66859.3,61150.7,56860.4,55646.6,57562.5,56967.4
Slovakia,21087.8,19266.5,19303.5,19390.0,17538.0,16512.3,16342.2,18655.8,18208.4
Slovenia,29200.8,25489.5,25943.0,26116.9,23514.0,21678.4,20890.2,24247.2,23503.3
South Africa,6994.2,5655.9,6624.8,7005.1,6690.9,5757.0,6259.8,6988.8,7467.1
South Korea,34757.7,31597.5,31902.4,33436.9,31616.8,29288.9,28732.2,29249.6,27182.7
Spain,30115.7,27056.4,29554.5,30364.6,28170.2,26523.3,25742.4,29500.8,29067.8
Sri Lanka,3814.7,3694.0,3848.2,4059.2,4077.0,3886.3,3843.8,3819.3,3610.3
Sweden,60239.0,52300.2,51939.4,54589.1,53791.5,51965.2,51545.5,60020.4,61126.9
Switzerland,93457.4,87100.4,85334.5,86388.4,83352.1,83073.3,84776.1,89684.7,88109.5
Thailand,7233.4,7158.8,7814.4,7298.9,6593.8,5993.3,5840.1,5951.9,6168.3
Trinidad And Tobago,15243.1,15285.9,17123.1,17139.2,16747.9,16241.4,18383.5,20290.5,20162.7
Tunisia,3924.3,3597.2,3571.9,3690.9,3687.8,3924.3,4094.8,4544.0,4444.8
Ukraine,4835.6,3751.7,3661.5,3096.6,2638.3,2187.7,2124.7,3104.6,4187.7
United Arab Emirates,35171.0,36284.6,42701.4,43839.3,40644.8,38141.9,38663.4,43751.8,42412.6
United Kingdom,47334.4,41098.1,43070.5,43647.0,40857.8,41499.6,45404.6,47787.2,43713.8
United States,69287.5,63027.7,65094.8,62805.3,59914.8,57866.7,56762.7,55123.8,53291.1
Uruguay,17020.6,15418.8,17688.0,18703.9,18690.9,16715.6,15613.7,16831.9,16973.7
Vietnam,3694.0,3526.3,3425.1,3230.9,2974.1,2745.6,2581.6,2545.4,2354.9
Turkey,9586.6,8536.4,9121.5,9454.3,10589.7,10894.6,11006.3,12158.0,12614.8
