Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,,,,,
Malaysia,"11,371.10","10,412.30","11,432.80","11,380.10","10,259.30","9,817.80","9,955.20","11,319.10","10,970.10",,,,,
Malta,"33,257.40","28,946.50","31,185.60","31,573.10","28,857.00","25,624.50","24,921.60","26,754.30","24,771.10",,,,,
Mexico,"9,926.40","8,431.70","9,950.20","9,687.00","9,287.80","8,744.50","9,616.60","10,928.90","10,725.20",,,,,
Morocco,"3,496.80","3,058.70","3,235.00","3,227.00","3,035.50","2,896.70","2,875.30","3,171.70","3,121.70",,,,,
Nepal,"1,222.90","1,147.50","1,195.00","1,178.50","1,048.50",899.5,901.7,844.9,823.4,,,,,
Netherlands,"58,061.00","52,396.00","52,476.30","53,044.50","48,675.20","46,039.10","45,193.40","52,900.50","52,198.90",,,,,
New Zealand,"48,801.70","41,596.50","42,865.20","43,250.40","42,925.00","40,058.20","38,630.70","44,572.90","42,976.60",,,,,
Nigeria,"2,085.00","2,097.10","2,229.90","2,027.80","1,968.60","2,176.00","2,687.50","3,099.00","2,961.50",,,,,
Norway,"89,202.80","67,329.70","75,719.80","82,267.80","75,496.80","70,460.60","74,355.50","97,019.20","102,913.50",,,,,
Oman,"16,439.30","14,485.40","17,700.70","18,947.40","17,329.20","16,772.70","18,444.90","23,017.90","23,888.60",,,,,
Pakistan,"1,537.90","1,359.50","1,481.80","1,678.00","1,631.50","1,540.20","1,356.70","1,251.20","1,208.90",,,,,
Peru,"6,692.20","6,117.50","7,023.10","6,958.50","6,710.50","6,205.00","6,229.10","6,672.90","6,756.80",,,,,
Philippines,"3,548.80","3,301.20","3,485.30","3,252.10","3,123.20","3,073.70","3,001.00","2,959.60","2,871.40",,,,,
Poland,"17,840.90","15,742.50","15,732.20","15,468.50","13,864.70","12,447.40","12,578.50","14,271.30","13,696.50",,,,,
Portugal,"24,262.20","22,194.60","23,330.80","23,562.60","21,490.40","19,992.00","19,250.10","22,103.70","21,653.20",,,,,
Qatar,"61,276.00","50,124.40","62,088.00","65,907.90","59,124.90","57,163.00","63,039.10","83,858.30","85,050.70",,,,,
Romania,"14,861.90","12,956.60","12,899.30","12,399.00","10,807.00","9,548.60","8,969.10","10,043.70","9,547.90",,,,,
Russia,"12,172.80","10,162.00","11,536.30","11,287.40","10,720.30","8,704.90","9,313.00","14,095.60","15,974.60",,,,,
Saudi Arabia,"23,585.90","20,203.70","23,450.60","24,228.80","20,802.50","19,878.80","20,627.90","24,464.20","24,845.10",,,,,
Serbia,"9,215.00","7,730.70","7,417.20","7,252.40","6,292.50","5,765.20","5,589.00","6,600.10","6,755.10",,,,,
Singapore,"72,794.00","60,729.50","65,831.20","66,859.30","61,150.70","56,860.40","55,646.60","57,562.50","56,967.40",,,,,
Slovakia,"21,087.80","19,266.50","19,303.50","19,390.00","17,538.00","16,512.30","16,342.20","18,655.80","18,208.40",,,,,
Slovenia,"29,200.80","25,489.50","25,943.00","26,116.90","23,514.00","21,678.40","20,890.20","24,247.20","23,503.30",,,,,
South Africa,"6,994.20","5,655.90","6,624.80","7,005.10","6,690.90","5,757.00","6,259.80","6,988.80","7,467.10",,,,,
South Korea,"34,757.70","31,597.50","31,902.40","33,436.90","31,616.80","29,288.90","28,732.20","29,249.60","27,182.70",,,,,
Spain,"30,115.70","27,056.40","29,554.50","30,364.60","28,170.20","26,523.30","25,742.40","29,500.80","29,067.80",,,,,
